#{"t_start": 1657181783.6869051, "env_id": null}
r,l,t
-37.020092,112,6.650108
-36.517147,94,10.977949
-30.297052,61,13.909322
-40.048527,104,18.805876
-95.06276,390,36.939622
-28.68284,52,39.624516
-32.96568,73,43.851291
-66.89715,237,56.150447
-19.6,7,56.556288
-274.01157,1284,64.372947
-21.434315,22,65.577111
-21.517242,247,69.437651
-37.95147,96,70.856579
-27.28284,45,72.004566
-32.248524,71,74.789316
-51.785824,171,81.263007
-44.24854,126,81.630339
-36.84852,87,86.06513
-21.8,18,87.060184
-113.27675,457,106.239351
-100.57986,417,109.617815
-33.91715,76,110.618756
-69.81432,265,124.410223
-20.4,14,125.136053
-513.5958,2476,128.438619
-21.517258,265,138.514355
-86.55161,385,148.945236
-36.82009,93,154.278116
-94.36574,380,160.149166
-32.420227,290,175.125225
-84.75092,632,187.247537
-357.61606,1689,198.122814
-28.117271,286,201.336369
-76.3315,286,211.727198
-21.717157,19,212.948817
-26.185785,50,215.752457
-34.606026,323,217.658902
-92.04024,366,237.619231
12.717162,84,242.340737
-271.5511,1498,254.263394
-297.79834,1423,335.984636
-23.703045,276,352.003608
-37.39999,129,359.498852
-72.03406,522,389.390265
-18.4,2,389.583527
-762.0458,3709,425.991545
-44.717175,137,433.481707
-30.054409,104,439.442894
-231.0039,1160,453.464814
-49.5716,197,464.232333
20.1799,47,466.926762
-27.054413,90,471.724412
-203.4866,1194,501.956485
-86.40543,619,502.36149
-980.1082,4891,514.898453
14.614216,54,517.619653
21.965685,29,519.114338
-66.31726,291,533.647292
17.614214,80,537.591445
-95.09401,705,538.900555
15.531376,124,543.97465
-23.805984,273,552.491429
-22.965685,23,553.667168
-69.468346,573,581.440555
-170.4132,785,582.306482
-18.8,4,582.617909
-23.785788,36,584.61703
-31.185781,67,585.204147
-127.765335,588,615.253513
-33.62842,90,620.294986
16.614214,74,624.388786
-41.897064,145,631.981756
16.794111,66,635.338697
-227.70097,1049,639.169945
20.297056,47,641.381274
-74.922714,541,660.771096
-65.46872,238,672.379051
-85.103096,357,689.04821
-29.985777,115,694.558311
-200.76942,1190,697.379225
9.414224,143,701.199032
9.165693,92,705.392652
-16.605938,261,710.035352
-64.10302,223,717.598606
-26.15147,44,719.818748
-21.6,17,720.765906
-9.494655,278,724.666806
-849.4455,4477,725.457438
-35.97156,113,726.280021
15.82843,74,728.293889
17.248528,42,728.293939
9.994121,103,730.391053
19.414213,64,731.327902
-23.082844,47,732.947254
-24.365791,265,741.850332
-64.15133,528,761.49305
-24.785788,57,764.542008
-61.468395,523,769.995566
5.71717,154,772.137361
7.628439,134,776.625664
2.317147,173,780.644543
-207.33562,951,781.284754
-24.034315,58,784.356081
11.014218,112,786.498763
-23.800001,53,787.016884
-39.28302,387,804.749076
-92.85447,398,805.779246
-91.71664,632,807.230013
20.414213,46,808.098694
16.559797,67,808.098743
-32.088726,79,812.33478
6.0970745,204,818.694853
3.1941097,160,820.511822
-29.08284,62,823.586168
-63.96548,513,834.02931
18.614212,75,837.801508
-31.179893,68,841.159668
17.676954,61,844.13465
-74.951126,541,846.336597
-24.254416,65,847.397382
11.9313755,72,849.973442
-34.91715,99,852.429125
18.745584,56,855.152252
-34.42613,350,867.292948
-60.137203,498,880.762057
-77.345726,300,883.326173
-22.882843,51,885.832996
-40.717163,137,892.522406
-52.385838,202,902.843312
-36.931362,91,907.501066
-71.86833,550,908.604653
-69.3658,270,921.892475
-352.7411,1960,923.100721
-41.903122,432,929.435111
-18.6,3,929.645654
11.931379,130,930.102545
-68.38588,257,935.696149
-45.96571,181,938.869539
11.697063,105,940.771899
-30.43443,291,944.943727
16.345587,120,945.078555
13.800003,105,950.640008
-41.117165,115,951.093853
-41.11716,141,958.156883
-23.917158,26,959.574991
11.145594,110,965.300159
-84.7516,349,969.717418
-53.820156,214,976.856739
4.6627517,143,984.234749
6.848545,231,995.859916
17.979898,58,998.786167
17.048529,43,1000.955204
15.345586,74,1004.62112
-132.71597,903,1048.657336
21.365685,21,1049.719021
8.8828535,133,1056.200644
-34.931362,82,1060.284232
-70.86876,294,1074.792959
-388.23236,2145,1076.261802
-498.03806,2694,1076.508767
7.5313854,217,1085.289615
-5.9230957,217,1086.879856
19.048529,33,1088.471721
21.014214,56,1091.211109
-32.599995,75,1095.425893
2.7999942,228,1096.975992
-57.24861,243,1109.133696
-117.72214,765,1114.382072
12.131379,121,1115.180001
-116.41395,499,1120.31466
-31.302933,134,1121.812865
18.365685,36,1123.522844
-12.351517,190,1123.790238
20.814213,42,1125.523917
21.014214,56,1126.500659
0.9798897,192,1135.297758
0.14555626,233,1138.10547
-30.317295,372,1138.720925
-39.751476,107,1140.485589
-50.22845,154,1146.007432
11.882849,140,1147.666699
21.648527,19,1148.616649
-24.0,70,1149.580977
8.497075,205,1158.464963
-31.68872,108,1163.876205
-40.254425,190,1173.149133
20.4,40,1175.032657
15.614214,51,1177.473599
-31.599995,66,1181.200041
-114.89374,763,1187.036233
18.93137,52,1189.50701
-214.89221,1253,1200.757419
-2.6686668,248,1201.814581
19.331371,51,1203.190364
16.131372,86,1206.143822
13.448534,74,1209.692072
7.014229,199,1212.987765
-92.76574,396,1231.505095
19.13137,46,1233.673966
-102.82526,692,1242.258451
-53.19166,433,1254.940866
-2.4544363,215,1265.33391
-22.0,42,1267.357777
-11.751525,244,1278.956227
-421.4624,2308,1293.466835
-34.19999,97,1298.833936
-92.38582,404,1300.197167
12.662752,200,1309.099072
-51.254467,187,1309.71183
-21.937258,43,1311.345093
-29.917152,59,1312.78895
-3.5372746,257,1325.886946
-130.79889,820,1365.48873
-462.0158,2502,1366.66879
-22.317158,49,1369.066831
11.345592,124,1371.579703
9.082856,160,1376.643732
12.717161,111,1376.833187
