#{"t_start": 1655110227.0399916, "env_id": null}
r,l,t
-19.365686,8,4.417858
-32.999992,66,6.861038
-56.628464,179,15.427608
-91.35151,372,35.187542
-149.39925,641,36.131839
-35.931362,88,40.148298
-207.34982,941,52.619487
-87.33149,344,59.107953
-28.151468,50,61.84271
-35.365677,85,66.436263
-42.00001,120,73.347051
-55.000057,183,84.432498
-32.751465,76,88.438344
-205.20436,931,88.553783
-149.99348,650,89.691834
-53.731422,177,98.03321
-53.40005,193,100.17219
-89.52313,365,118.883094
-106.57141,450,143.526821
-229.3981,1061,147.65369
-23.23441,242,161.947785
-213.00351,1214,169.218038
-120.86242,506,173.445342
-63.820187,229,175.424945
-125.710945,507,200.872026
-74.31686,512,207.640421
-87.00013,362,229.382602
-28.0201,52,232.842216
-193.42393,1123,242.285179
-71.11688,498,270.062782
-38.53726,107,275.286431
-38.648525,102,280.215196
-33.399994,77,284.354162
-23.531372,30,285.973142
-232.99797,1075,290.730313
-37.6201,103,291.023032
-304.02698,1733,297.83543
-49.91719,163,299.680682
-18.4,1,299.783799
-79.883,330,308.618784
-12.820159,196,310.513896
-39.234314,106,314.499844
-99.11127,391,331.654565
-190.61876,881,345.433926
-67.765785,268,345.938629
-22.420128,156,352.99195
-214.12962,994,366.21113
-120.66828,517,392.598149
-68.66286,250,404.74876
-18.317158,1,404.867535
-68.01431,310,420.488894
15.482844,56,423.293758
-312.07007,1691,431.004686
-48.317192,173,432.18211
-31.44852,107,437.473095
-24.737259,74,441.544561
-109.66839,529,469.025967
-483.1252,2347,472.638249
-49.131405,221,480.798429
-263.35052,1503,507.791313
-77.50308,354,525.122143
-209.99763,1204,540.097814
-313.553,1746,559.58551
-132.95094,641,572.717104
-94.84854,451,582.66747
-223.36906,1268,588.669874
-18.682842,4,589.015002
-29.785784,60,592.371393
-45.71718,174,601.040032
-43.75981,135,608.604702
-30.482838,66,611.83012
-50.28288,156,619.352701
-42.70295,142,626.365484
-31.76568,70,630.163587
-65.06872,239,643.106808
-332.75183,1640,658.875281
-18.282843,1,658.970212
-24.365686,35,661.103803
-18.6,21,662.488549
-35.131363,110,669.28938
-35.26862,84,674.517985
-160.9506,682,684.239176
-70.80011,248,689.075891
-31.248524,64,692.69683
-22.717157,23,694.145061
-76.53151,281,701.074233
-479.99387,2300,710.462177
-163.52211,759,744.022003
-25.834314,39,746.008829
-20.26863,12,746.653534
-51.677,169,755.025002
-22.951471,32,756.663119
-25.502943,44,759.107141
-250.92906,1169,759.4647
-20.482843,13,760.199068
-33.814205,85,763.537246
-34.731365,77,767.370069
-93.91131,373,785.717091
-23.6,28,787.197921
-20.448528,16,788.260893
-36.33136,103,793.368574
-159.11623,738,797.293048
-54.702995,176,806.350938
-133.84802,579,823.743395
-82.75163,360,825.699485
-32.482838,70,829.899865
-469.98148,2504,843.206448
-77.0972,293,845.468136
-22.2,20,846.66143
-42.9657,127,854.449254
-21.082842,12,855.385068
-180.08754,817,869.978754
-35.69705,87,874.553104
-37.848522,101,879.776094
-612.48566,2990,1004.055951
-115.6483,482,1027.713573
-83.64868,347,1045.237953
-835.65765,4088,1048.911907
-122.08842,505,1075.99356
-42.682858,128,1082.748709
-46.96571,134,1089.752216
-80.18005,305,1106.673767
-216.82417,1056,1109.440479
-482.32816,2557,1229.840338
-20.848528,17,1230.765188
-45.779922,151,1237.893337
-559.9699,2721,1240.327699
-28.882961,291,1253.12385
-54.897114,192,1263.928968
-48.848568,188,1275.730755
-144.73909,641,1277.13087
-26.331371,36,1278.971165
-11.620144,260,1288.952438
-42.185795,130,1295.336071
-29.834309,77,1299.369279
-88.8001,346,1315.928522
-37.717155,90,1320.319054
-29.717154,60,1323.260589
-51.454426,401,1341.824622
-323.89703,1818,1365.655447
-25.165686,33,1367.607588
-161.53049,724,1376.62958
-72.00013,264,1390.668047
-207.56406,948,1415.8491
-285.37766,1338,1465.793928
-2391.0967,11878,1487.435376
-24.785788,33,1489.468471
-176.93022,827,1516.382783
-138.53082,574,1552.131321
-572.48206,2793,1667.015334
-448.0212,2151,1688.226113
-920.5368,4532,1695.861378
-130.29668,548,1697.515315
-27.502943,50,1700.104562
-127.35105,547,1716.621238
-293.41833,1409,1770.049971
-437.0401,2098,1816.401314
-29.965681,61,1819.941777
-34.84852,85,1824.681463
-400.0935,1958,1826.608468
-67.68294,250,1839.794329
-117.83403,495,1864.515389
-380.91418,1881,1873.940103
-225.04669,1085,1880.507965
-55.282898,182,1891.246161
-129.8824,543,1894.749272
-17.551556,232,1909.052853
7.448537,90,1914.942312
-64.76577,239,1929.53947
-163.3305,740,1936.338744
-14.400062,203,1947.459468
-412.27332,1973,2051.056664
-1062.6592,5242,2158.672758
-121.69673,513,2185.239554
-216.01825,1033,2249.064118
-783.43243,3850,2263.397243
-84.73742,347,2266.9663
-50.771614,175,2279.472781
-28.131369,66,2283.357366
-811.1731,4030,2497.67562
-201.75584,926,2551.820012
-109.96797,428,2580.144801
-30.702938,91,2585.35572
-2816.3071,14004,2707.835149
-32.38578,72,2712.504112
-454.1721,2163,2713.869829
-26.199999,44,2715.146706
-1616.4437,7985,2715.853447
-24.8,32,2717.709737
-52.262783,167,2722.445196
-49.200035,154,2723.247679
-44.48286,130,2731.277233
-19.8,10,2731.961634
-45.00002,136,2739.799348
-289.218,1371,2800.957106
-77.248665,300,2816.011456
-338.64093,1654,2820.248462
-63.13145,207,2827.01165
-56.151527,200,2836.93854
-158.15063,693,2854.817958
-473.79596,2532,2878.211611
-114.50269,516,2880.486162
-29.648525,46,2880.700508
-27.365685,33,2882.338488
19.151472,44,2884.5892
-69.585884,300,2900.431187
-68.91727,255,2913.972596
-25.8,36,2915.93002
-28.08284,51,2918.773753
-579.807,2814,3042.693482
-58.02016,198,3054.069036
-265.9892,1239,3127.489828
-26.55147,62,3131.776995
-36.102936,92,3138.748517
-196.53583,892,3181.838489
-428.20505,2073,3291.67346
-38.385784,97,3296.487004
-398.60922,1927,3393.572767
-34.76568,79,3398.071248
-29.48284,53,3401.161342
-2176.3262,10778,3419.152736
-25.082844,36,3420.988508
-1861.2025,9250,3422.941186
-30.399996,62,3424.039561
-32.79999,75,3427.617204
-21.517157,18,3428.588628
-20.682842,12,3429.281011
-28.799997,55,3432.266644
-76.56581,261,3444.721398
-187.0757,850,3487.782047
-348.38904,1871,3517.188383
-41.731377,116,3524.371226
-38.351467,106,3529.88566
-20.8,14,3530.651459
-31.048523,60,3533.831801
-74.11681,516,3559.576424
-22.06863,30,3561.062146
-32.16568,74,3564.649236
-37.282837,105,3569.620131
-28.68284,47,3572.000587
-72.28296,266,3585.008333
-34.931362,78,3589.385014
-801.19257,3916,3598.664845
-80.26289,307,3604.405484
-448.2975,2424,3610.813032
-56.551544,222,3622.431943
-84.662895,357,3622.928154
-54.88878,184,3632.548887
-40.3799,114,3638.297389
-90.6143,337,3655.099257
-135.63321,841,3696.682468
-44.951492,134,3703.615323
-380.78226,1826,3714.300118
-25.082842,34,3716.092523
-80.18005,310,3719.514872
-26.482841,39,3721.558403
-60.61429,199,3731.664661
-82.96584,318,3747.575756
-18.2,1,3747.688034
-18.117157,1,3747.854035
-44.585804,137,3754.836107
-213.87537,971,3803.229245
-18.717157,3,3803.449622
-66.765785,222,3814.371893
-48.648552,150,3822.12448
-90.414276,354,3840.11808
-504.5268,2479,3840.971662
-98.98578,387,3858.925956
-115.45661,500,3865.26753
-50.737297,156,3866.613212
-18.882843,3,3866.80967
-28.199997,47,3867.756774
-27.648525,47,3869.416409
-33.399994,81,3873.605109
-1210.1355,5914,3898.256511
-134.3451,569,3898.852555
-109.331154,459,3898.955424
-58.28291,197,3908.100626
-123.448135,538,3924.397107
-167.06184,775,3947.623262
-240.94363,1034,3950.899189
-71.13737,265,3962.097143
-29.897053,60,3965.094186
-195.99863,886,3971.580735
-21.26863,21,3972.703337
-221.69524,1041,4025.191164
-101.83423,412,4047.070368
-392.03818,1886,4047.754331
-58.88291,203,4058.482496
-72.66875,272,4063.051305
-106.40578,459,4086.127743
-50.351498,156,4096.509929
-560.11487,2700,4108.013705
-43.365696,120,4115.442217
-432.85422,2051,4178.790813
-390.37863,1811,4219.094253
-425.95624,2033,4246.715091
-94.13142,373,4265.080016
-35.79999,104,4270.178984
-106.262634,447,4294.089806
-148.0821,650,4324.820132
-24.862741,34,4326.736791
-1984.1316,9854,4808.270558
-35.365677,82,4812.265472
-30.08284,60,4815.271084
